約定日	銘柄	銘柄コード	市場	取引	期限	預り	課税	約定数量	約定単価	手数料/諸経費等	税額	受渡日	受渡金額/決済損益
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	6	39900	192	9	2012/3/23	239199
2012/3/19	ステツプ	9795	東証	株式現物買	--	特定	--	100	530	139	6	2012/3/23	53145
2012/3/19	ファナック	6954	PTS	株式現物買	--	特定	--	100	15550	324	16	2012/3/23	1555340
2012/3/19	日本郵船	9101	東証	株式現物買	--	特定	--	4000	269	728	36	2012/3/23	1076764
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	100	543	23	1	2012/3/26	54324
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	1700	545	404	23	2012/3/26	926927
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	1200	540	280	13	2012/3/26	648293
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	400	539	93	4	2012/3/26	215697
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	1100	544	259	12	2012/3/26	598671
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	400	538	93	4	2012/3/26	215297
2012/3/21	ファナック	6954	PTS	株式現物売	--	特定	申告	100	15261	324	16	2012/3/26	1525760
2012/3/22	日本郵船	9101	東証	株式現物売	--	特定	申告	4000	260	728	36	2012/3/27	1039236
2012/3/23	カカクコム	2371	東証	株式現物買	--	特定	--	1000	2126	1152	57	2012/3/28	2127209
2012/3/23	任天堂	7974	大証	株式現物売	--	特定	申告	100	12720	728	36	2012/3/28	1271236
2012/4/1	ニトリホールディングス	9843		配当									3600
2012/4/4	ニプロ	8086	東証	株式現物買	--	特定	--	1000	600	609	30	2012/4/9	600639
2012/4/5	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物売	--	特定	申告	500	1052	609	30	2012/4/10	525361
2012/4/5	ニトリホールディングス	9843	PTS	株式現物売	--	特定	申告	50	7350	161	7	2012/4/10	367332
2012/4/5	ニトリホールディングス	9843	PTS	株式現物売	--	特定	申告	50	7352	163	9	2012/4/10	367428
2012/4/5	関西電力	9503	東証	株式現物買	--	特定	--	500	1290	609	30	2012/4/10	645639
2012/4/5	日本マクドナルドホールディングス	2702	JASDAQ	株式現物売	--	特定	申告	500	2192	728	36	2012/4/10	1095236
2012/4/9	ステツプ	9795	東証	株式現物売	--	特定	申告	3000	542	1152	57	2012/4/12	1624791
2012/4/11	カカクコム	2371	東証	株式現物売	--	特定	申告	400	2355	462	25	2012/4/16	941513
2012/4/11	カカクコム	2371	東証	株式現物売	--	特定	申告	100	2358	115	5	2012/4/16	235680
2012/4/11	カカクコム	2371	東証	株式現物売	--	特定	申告	100	2356	115	5	2012/4/16	235480
2012/4/11	カカクコム	2371	東証	株式現物売	--	特定	申告	200	2353	230	11	2012/4/16	470359
2012/4/11	カカクコム	2371	東証	株式現物売	--	特定	申告	200	2354	230	11	2012/4/16	470559
2012/4/11	ニプロ	8086	東証	株式現物売	--	特定	申告	1000	573	609	30	2012/4/16	572361
2012/4/12	ニプロ	8086	東証	株式現物買	--	特定	--	1000	581	609	30	2012/4/17	581639
2012/4/13	任天堂	7974	PTS	株式現物買	--	特定	--	100	11798	324	16	2012/4/18	1180140
2012/4/19	さくらインターネット	3778	東証	株式現物買	--	特定	--	1000	580	609	30	2012/4/24	580639
2012/4/20	マニー	7730	東証	株式現物買	--	特定	--	100	2882	341	17	2012/4/25	288558
2012/4/24	ディーブイエックス	3079	JASDAQ	株式現物買	--	特定	--	300	1420	341	17	2012/4/27	426358
2012/4/24	関西電力	9503	東証	株式現物売	--	特定	申告	500	1202	609	30	2012/4/27	600361
2012/4/24	武田薬品工業	4502	東証	株式現物買	--	特定	--	100	3480	341	17	2012/4/27	348358
2012/4/26	さくらインターネット	3778	東証	株式現物買	--	特定	--	1000	530	609	30	2012/5/2	530639
2012/5/10	東映アニメーション	4816	JASDAQ	株式現物買	--	特定	--	100	1825	185	9	2012/5/15	182694
2012/5/15	さくらインターネット	3778	東証	株式現物売	--	特定	申告	1900	450	609	30	2012/5/18	854361
2012/5/15	ニプロ	8086	東証	株式現物売	--	特定	申告	100	484	34	1	2012/5/18	48365
2012/5/15	ニプロ	8086	東証	株式現物売	--	特定	申告	900	485	307	16	2012/5/18	436177
2012/5/15	東映アニメーション	4816	JASDAQ	株式現物売	--	特定	申告	100	1657	185	9	2012/5/18	165506
2012/5/15	任天堂	7974	大証	株式現物売	--	特定	申告	100	9630	609	30	2012/5/18	962361
2012/5/23	日本電信電話	9432	東証	株式現物買	--	特定	--	100	3410	341	17	2012/5/28	341358
2012/5/29	三菱商事	8058	東証	株式現物買	--	特定	--	200	1533	341	17	2012/6/1	306958
2012/5/30	スカイマーク	9204	東証	株式現物買	--	特定	--	400	473	185	9	2012/6/4	189394
2012/5/30	ハイデイ日高	7611	東証	株式現物買	--	特定	--	100	1173	185	9	2012/6/4	117494
2012/5/30	王将フードサービス	9936	大証	株式現物買	--	特定	--	100	1870	185	9	2012/6/4	187194
2012/5/30	大戸屋ホールディングス	2705	JASDAQ	株式現物買	--	特定	--	100	920	139	6	2012/6/4	92145
2012/5/31	キヤノン	7751	PTS	株式現物買	--	特定	--	100	3138.5	324	16	2012/6/5	314190
2012/5/31	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物買	--	特定	--	100	1006	185	9	2012/6/5	100794
2012/5/31	小松製作所	6301	PTS	株式現物買	--	特定	--	100	1864.8	161	7	2012/6/5	186648
2012/5/31	小松製作所	6301	PTS	株式現物買	--	特定	--	100	1864.9	163	9	2012/6/5	186662
2012/6/1	ステップ	9795		配当									54000
2012/6/1	カカクコム	2371		配当									22500
2012/6/5	カスミ	8196	東証	株式現物買	--	特定	--	100	527	139	6	2012/6/8	52845
2012/6/5	任天堂	7974	大証	株式現物買	--	特定	--	100	9300	609	30	2012/6/8	930639
2012/6/6	エコス	7520	東証	株式現物買	--	特定	--	100	498	139	6	2012/6/11	49945
2012/6/6	さくらインターネット	3778	東証	株式現物買	--	特定	--	800	423	305	16	2012/6/11	338721
2012/6/6	さくらインターネット	3778	東証	株式現物買	--	特定	--	100	410	36	1	2012/6/11	41037
2012/6/6	ニプロ	8086	東証	株式現物買	--	特定	--	1000	443	341	17	2012/6/11	443358
2012/6/6	三菱ＵＦＪフィナンシャル・グループ	8306	PTS	株式現物買	--	特定	--	2000	341.7	216	11	2012/6/11	683627
2012/6/6	三菱ＵＦＪフィナンシャル・グループ	8306	PTS	株式現物買	--	特定	--	1000	341.8	108	5	2012/6/11	341913
2012/6/6	三菱商事	8058	東証	株式現物買	--	特定	--	500	1533	609	30	2012/6/11	767139
2012/6/7	ヴィレッジヴァンガードコーポレーション	2769	JASDAQ	株式現物買	--	特定	--	1	104400	113	5	2012/6/12	104518
2012/6/7	ヴィレッジヴァンガードコーポレーション	2769	JASDAQ	株式現物買	--	特定	--	2	104500	228	12	2012/6/12	209240
2012/6/13	マックスバリュ東海	8198	東証	株式現物買	--	特定	--	100	1088	185	9	2012/6/18	108994
2012/6/28	ソフトバンク	9984	東証	株式現物買	--	特定	--	100	2847	341	17	2012/7/3	285058
2012/7/10	ヴィレッジヴァンガードコーポレーション	2769	JASDAQ	株式現物売	--	特定	申告	1	96100	113	5	2012/7/13	95982
2012/7/10	ヴィレッジヴァンガードコーポレーション	2769	JASDAQ	株式現物売	--	特定	申告	2	96000	228	12	2012/7/13	191760
2012/7/10	ソフトバンク	9984	PTS	株式現物買	--	特定	--	100	2931.9	324	16	2012/7/13	293530
2012/7/12	日新製糖ホールディングス	2117	東証	株式現物買	--	特定	--	200	1516	341	17	2012/7/18	303558
2012/8/1	キヤノン	7751		配当									5400
2012/8/13	アークランドサービス	3085	JASDAQ	株式現物買	--	特定	--	100	3400	341	17	2012/8/16	340358
2012/8/17	日本郵船	9101	PTS	株式現物買	--	特定	--	1000	175	163	9	2012/8/22	175172
2012/8/17	日本郵船	9101	PTS	株式現物買	--	特定	--	1000	174.9	161	7	2012/8/22	175068
2012/9/1	コカ・コーラ　セントラル　ジャパン	2580		配当									1800
2012/9/14	日本郵船	9101	PTS	株式現物買	--	特定	--	1000	145.9	163	9	2012/9/20	146072
2012/9/14	日本郵船	9101	PTS	株式現物買	--	特定	--	1000	145.8	161	7	2012/9/20	145968
2012/9/21	小松製作所	6301	PTS	株式現物売	--	特定	申告	200	1582.1	324	16	2012/9/26	316080
2012/10/1	日本郵船	9101		配当									7200
2012/10/1	カスミ	8196		配当									630
2012/10/1	ハイデイ日高	7611		配当									1440
2012/10/1	マニー	7730		配当									2790
2012/10/1	マニー	7730		配当									3000
2012/10/4	ハイデイ日高	7611	東証	株式現物売	--	特定	申告	100	1248	185	9	2012/10/10	124606
2012/10/12	ソフトバンク	9984	東証	株式現物買	--	特定	--	200	2433	341	17	2012/10/17	486958
2012/10/16	エコス	7520	東証	株式現物売	--	特定	申告	100	501	139	6	2012/10/19	49955
2012/10/16	カスミ	8196	東証	株式現物売	--	特定	申告	100	505	139	6	2012/10/19	50355
2012/10/16	マックスバリュ東海	8198	東証	株式現物売	--	特定	申告	100	1110	185	9	2012/10/19	110806
2012/10/16	王将フードサービス	9936	大証	株式現物売	--	特定	申告	100	1910	185	9	2012/10/19	190806
2012/10/16	大戸屋ホールディングス	2705	JASDAQ	株式現物売	--	特定	申告	100	950	139	6	2012/10/19	94855
2012/10/17	ステップ	9795	東証	株式現物売	--	特定	申告	3000	710	1152	57	2012/10/22	2128791
2012/10/18	アークランドサービス	3085	JASDAQ	株式現物買	--	特定	--	300	1281	341	17	2012/10/23	384658
2012/10/22	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物売	--	特定	申告	100	982	139	6	2012/10/25	98055
2012/10/22	スカイマーク	9204	東証	株式現物売	--	特定	申告	400	398	185	9	2012/10/25	159006
2012/10/22	ソフトバンク	9984	PTS	株式現物売	--	特定	申告	200	2542	579	28	2012/10/25	507793
2012/10/22	丸紅	8002	PTS	株式現物買	--	特定	--	1000	515.6	579	28	2012/10/25	516207
2012/10/22	三菱商事	8058	PTS	株式現物売	--	特定	申告	400	1372.1	579	28	2012/10/25	548233
2012/10/22	日本マクドナルドホールディングス	2702	JASDAQ	株式現物買	--	特定	--	500	2207	728	36	2012/10/25	1104264
2012/10/24	エーワン精密	6156	JASDAQ	株式現物買	--	特定	--	100	2360	341	17	2012/10/29	236358
2012/10/26	ステップ	9795	東証	株式現物買	--	特定	--	500	649	202	9	2012/10/31	324711
2012/10/26	ステップ	9795	東証	株式現物買	--	特定	--	1000	650	407	21	2012/10/31	650428
2012/10/29	ディーブイエックス	3079	JASDAQ	株式現物売	--	特定	申告	400	1001	407	21	2012/11/1	399972
2012/10/29	ディーブイエックス	3079	JASDAQ	株式現物売	--	特定	申告	200	1000	202	9	2012/11/1	199789
2012/10/30	ステップ	9795	東証	株式現物買	--	特定	--	300	629	228	11	2012/11/2	188939
2012/10/30	ステップ	9795	東証	株式現物買	--	特定	--	400	630	306	16	2012/11/2	252322
2012/10/30	ステップ	9795	東証	株式現物買	--	特定	--	100	628	75	3	2012/11/2	62878
2012/11/5	さくらインターネット	3778	東証	株式現物売	--	特定	申告	1000	497	341	17	2012/11/8	496642
2012/11/5	ニプロ	8086	PTS	株式現物売	--	特定	申告	1000	564	579	28	2012/11/8	563393
2012/11/5	任天堂	7974	PTS	株式現物売	--	特定	申告	100	10132	692	34	2012/11/8	1012474
2012/11/6	キヤノン	7751	東証	株式現物買	--	特定	--	100	2537	341	17	2012/11/9	254058
2012/11/15	アークランドサービス	3085	JASDAQ	株式現物買	--	特定	--	400	1490	609	30	2012/11/20	596639
